# Mwm name	Generation time
US_Virginia_Alexandria	3392.611968
Netherlands_Groningen	3388.110630999999
Morocco_Rabat-Sale-Zemmour-Zaer	3387.0009010000003
US_Kentucky_West	3376.131918
Czech_Stredni Cechy_West	3375.229436
Netherlands_Gelderland_Nijmegen	3372.2940009999998
Bolivia_South	3354.127017
Lithuania_East	3347.923229
Czech_Jihozapad_Jihocesky kraj	3338.7482939999995
France_Pays de la Loire_Loire-Atlantique_Nantes	3318.8157779999997
Kazakhstan_South	3308.620092
US_Minnesota_Rochester	3301.47688
China_Henan	3299.457949
Slovakia_Region of Banska Bystrica	3299.064838
Netherlands_Utrecht_Amersfoort	3298.2525549999996
France_Languedoc-Roussillon_Aude	3295.901617
Italy_Apulia	3294.7604119999996
US_Texas_Lubbock	3263.3619190000004
Ukraine_Ivano-Frankivsk Oblast	3258.873902
Russia_Rostov Oblast	3237.2449300000003
Croatia_West	3234.381897
Norway_Central	3232.7351239999994
France_Brittany_Morbihan	3221.6724220000006
Austria_Styria_Leoben	3214.216634
France_Ile-de-France_Yvelines	3211.9540819999997
Netherlands_Friesland	3211.3860010000003
Norway_Southern	3204.740729
UK_England_East of England_Norfolk	3197.441171
US_Georgia_Macon	3189.566935
France_Auvergne_Allier	3183.3626069999996
Bosnia and Herzegovina_Entity Federation of Bosnia and Herzegovina	3178.844814
Ukraine_Lviv Oblast	3161.907256
US_Utah_North	3159.653951
Japan_Kanto_Tochigi	3134.9040050000003
India_West Bengal	3120.4437789999997
Netherlands_North Holland_Alkmaar	3111.402613
Australia_Sydney	3098.0495610000003
Netherlands_North Holland_Zaandam	3080.519542
Russia_Krasnodar Krai	3075.999432
Netherlands_Overijssel_Zwolle	3066.8330929999997
Germany_Schleswig-Holstein_Kiel	3055.760776
Slovenia_West	3053.6713609999997
Belgium_West Flanders	3048.6125609999995
Denmark_Capital Region of Denmark	3046.5366299999996
Poland_Opole Voivodeship	3022.303545
UK_Scotland_South	3011.196556000001
US_Ohio_Toledo	2987.5033670000003
Japan_Kanto_Gunma	2982.149603
Italy_Lombardy_Milan	2981.18296
US_North Carolina_Asheville	2972.9710179999997
Denmark_Region of Southern Denmark	2967.5778429999996
Czech_Moravskoslezsko	2962.424896
France_Picardy_Aisne	2942.804955
Italy_Campania	2926.801159
Denmark_Central Denmark Region	2914.410135
US_Arkansas_South	2908.024043
Brazil_Southeast Region_Sao Paulo_West	2893.6597020000004
Italy_Lombardy_Pavia	2888.2480899999996
Turkey_Mediterranean Region	2887.4974930000003
Czech_Stredni Cechy_East	2886.036898
Poland_Swietokrzyskie Voivodeship	2880.522351
Czech_Ustecky kraj	2880.1872710000002
Australia_Brisbane	2875.0352249999996
Canada_Ontario_Kingston	2872.7119649999995
Russia_Volgograd Oblast	2871.163188
Finland_Western Finland_Tampere	2869.2908800000005
US_Washington_Coast	2830.636909
France_Aquitaine_Lot-et-Garonne	2825.693251
US_Idaho_North	2819.1382759999997
Germany_Saarland	2783.930849
Antarctica	2774.716041
Cameroon_Central	2770.452145
France_Lorraine_Meurthe-et-Moselle	2764.7332209999995
Czech_Olomoucky kraj	2753.2796000000003
US_California_Sacramento_Stockton	2745.878408
Iran_East	2742.769004
US_Texas_Houston	2740.368082
US_Georgia_North	2739.3083800000004
US_Washington_Yakima	2737.078501
Germany_Saxony-Anhalt_Magdeburg	2733.603994
Italy_Sardinia	2728.953989
UK_Northern Ireland	2725.754809
US_Minnesota_Minneapolis	2714.6359890000003
Slovakia_Region of Presov	2710.126789
Slovakia_Region of Kosice	2697.7458300000003
France_Picardy_Somme	2692.820981
Lithuania_West	2686.3246750000003
Japan_Chubu Region_Shizuoka	2684.070185
US_Nebraska_East	2683.754102
US_Florida_Tampa	2668.384083
France_Languedoc-Roussillon_Gard	2663.5281700000005
Italy_Liguria	2648.191757
US_Kentucky_Louisville	2647.201177
US_Kentucky_East	2645.9345099999996
China_Guangdong	2635.4003649999995
US_Montana_East	2631.061125
France_Pays de la Loire_Sarthe	2630.2657470000004
Brazil_Southeast Region_Rio de Janeiro	2630.224248
US_Oklahoma_Oklahoma	2628.43451
China_Zhejiang	2610.4127500000004
France_Rhone-Alpes_Ain	2607.1050689999997
Spain_Basque Country	2601.8091719999998
US_Iowa_West	2594.0146579999996
France_Brittany_Cotes-dArmor	2577.865953
France_Rhone-Alpes_Isere	2571.18393
France_Brittany_Finistere	2570.8310839999995
France_Ile-de-France_Essonne	2557.6630059999993
Argentina_Buenos Aires_Buenos Aires	2553.940794
Indonesia_West	2550.008411
Ukraine_Kyiv Oblast	2546.4650250000004
Chile_Central	2543.8720839999996
US_Georgia_South	2535.2240639999995
